timestamp,event_type,source,target,punk_id,punk_type
1608596756,PunkTransfer,0x4ba2d1a96bc4a741740afaf9082a963f1420d5ec,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,2306,Zombie
1608596793,PunkTransfer,0x425d33d6bcb86ece121395133ed7f5c167f5fea4,0x4ba2d1a96bc4a741740afaf9082a963f1420d5ec,9997,Zombie
1608596856,PunkTransfer,0x4ba2d1a96bc4a741740afaf9082a963f1420d5ec,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,9997,Zombie
1608610824,PunkTransfer,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0xe83c750b2708320bb134796c555b80df39a3d97b,3609,Zombie
1608611714,PunkTransfer,0xe83c750b2708320bb134796c555b80df39a3d97b,0x77300de3acddd2e87b96bff1946f1371555fd315,3609,Zombie
1608612171,PunkTransfer,0x77300de3acddd2e87b96bff1946f1371555fd315,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,3609,Zombie
1608670357,PunkTransfer,0xb268f20c03c39f00425db32c424fd5272220496e,0xbc5dad3942aaebdb1229c9a31923493e15b7699b,2249,Zombie
1608670945,PunkTransfer,0xbc5dad3942aaebdb1229c9a31923493e15b7699b,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,2249,Zombie
1608904892,PunkBought,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,0xe614065a4ac6d478f141db4595325b537ffa2ea5,3831,Zombie
1609021250,PunkBought,0x0ed6fed4df8480c1d1b3b78537cfb8f9c22a81ef,0xbf6ccf49cc2874f01916d747a8fe97f14a082be0,2681,Zombie
1609023362,PunkBought,0x3d826e692d336578bd4e1a4b7ba57aca8668c79f,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,6649,Zombie
1609284415,PunkTransfer,0xcaf6fd54fb74c95b28f5e94952ca21b46e4071cc,0x3b890c7206ce7aaf12e565d29a0df0758bf8e1e1,5066,Zombie
1609284562,PunkTransfer,0x3b890c7206ce7aaf12e565d29a0df0758bf8e1e1,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,5066,Zombie
1609310997,PunkTransfer,0xb7f7f6c52f2e2fdb1963eab30438024864c313f6,0xcaf6fd54fb74c95b28f5e94952ca21b46e4071cc,2249,Zombie
